customer_id,tenure_months,avg_monthly_spend,num_products,days_since_last_contact,contract_type,churn,purchase_seq
12,24,250.81,7,126,monthly,0,"29.457252461583906,30.42914430698261,20.270343095977097,32.013284375125885,29.621155154026724,22.051607322862505,26.608072018124908,26.371099500268215,25.200946698252157,29.454577990628216,32.29093859133876,25.117550488624993"
13,1,186.78,6,142,monthly,1,"11.805111716909735,13.288355016467033,19.126758591848386,8.191641735210577,14.86873583508791,8.85725085090589,11.840233594098335,15.921712146141822,13.242348974165559,10.256121742983794,11.203851942694616,14.851314528557939"
14,5,296.83,4,349,monthly,0,"17.66065100838722,30.79010080055377,25.754402514205182,34.74377703352194,24.978280481712098,29.00204036814952,32.68111564058188,34.82286408762073,22.557464028135396,27.697376379898277,26.863610771739083,25.804610038645574"
15,54,275.63,5,271,monthly,0,"36.68896899705756,25.011125883813893,28.04025715645018,24.29472182343975,23.814454349580302,26.11099964075214,26.015912450727622,24.233569401834387,24.535236064284014,33.609264293195,39.21181821619692,24.815531837354666"
16,58,323.45,2,179,monthly,0,"39.86894079911708,32.41073794765314,25.995251811557765,35.333846188641516,33.63224012041189,28.46179331064771,32.79608449784141,29.851982912003464,33.07887450528906,36.62780379320816,42.60433847033157,24.33722633123003"
17,33,238.5,4,322,quarterly,0,"20.65876644331518,19.709024895353565,21.24994054497231,17.80439368988163,24.375865122241187,21.798542941073148,29.717786462942108,17.690668291486777,31.266642707303337,19.16946689214533,17.94344460289684,19.916197575000744"
18,7,228.56,5,74,annual,0,"19.97761972654935,26.863966467409433,25.378237780646423,19.609969371215488,14.68427512114566,17.27662358429761,19.797047795458326,28.16760054455754,29.954594971088646,20.84698888517883,20.9914511199916,24.052061683558517"
19,17,173.92,1,341,monthly,1,"11.173094804632916,14.570559260184831,12.426729383496202,12.826220039722712,8.906139375901349,3.983280295968174,14.910273622405755,17.393062331052764,11.340377321233383,12.781608901513284,12.964723330870424,16.253738834596113"
20,11,249.11,5,229,monthly,0,"22.563949052678808,26.06683743297298,17.69616291020726,17.898540512150987,21.331336623515472,23.847305827450555,26.459717661621877,32.26117102258788,29.18371631842849,24.113893601091515,24.815989204882623,19.915982921159717"
21,13,315.5,4,316,quarterly,0,"24.58234312155493,36.355492596034324,28.084161004126617,16.032478541846057,31.912253121508527,26.22366165450822,40.12410456737497,29.74313243887396,31.83776294380027,34.00569906546484,29.86268084625286,30.89474069010176"
22,21,237.89,2,46,quarterly,0,"34.03343882410997,20.13812993556467,27.939349559792607,24.661324397155667,34.20767186332808,19.943294431764023,19.793787313049638,20.9372264834288,13.683939910644334,21.287579851092183,20.177214824517165,24.50456323367604"
23,41,174.13,7,144,monthly,0,"12.138353923180947,19.78000276528892,16.9853930777462,19.672855495103114,20.13040664339651,17.9391692162099,13.123387699387909,18.07326671856694,22.287257822598704,15.854803195032758,18.599245481620155,17.36503445244049"
24,11,62.95,6,314,quarterly,0,"3.207560022780058,5.1602085911912905,6.158161935396969,6.225069050730144,6.621490952512717,6.675575655033581,8.203838403526554,6.688304231062876,5.90083169115866,4.281651696456919,4.571889678077117,6.969099791631567"
25,49,5.0,3,305,annual,0,"0.6026579846552078,0.5166088132508151,0.3979616752737845,0.47309055620710494,0.6489045173884479,0.5877825168480113,0.4566349673228153,0.46576913613756005,0.3269126896234432,0.6444338791981811,0.5886063560246153,0.4862922178958147"
26,52,37.66,7,29,quarterly,0,"3.755066915996772,4.366030124266722,3.554205277647544,2.5122552512423653,3.7614837773546164,4.069794984699554,4.611788381131971,2.680600365950699,3.6735725981528766,3.7094321397963044,2.9366564911345057,4.133483608254736"
27,56,279.77,3,92,annual,0,"31.424275308118563,25.018507858584968,20.813200826362966,20.693950889862283,28.261405491096873,25.242792686158392,15.970028432968855,30.84702522491416,21.15900389955355,21.484457282033343,27.744008114171294,22.940428704272392"
28,22,268.11,1,354,monthly,1,"17.735172722139914,10.127284172086787,13.080288810421118,23.898169375780512,24.941997790948253,17.832822929371588,20.931700115115564,19.93586655848435,30.324214648689555,22.969927094215983,18.287443056149183,15.18094680748583"
29,35,130.3,7,27,monthly,0,"11.345052788206116,10.211505456503177,17.426724471281045,15.327582557263757,13.009248208024259,16.886766762269062,13.231647146894835,10.785514024424812,16.999293897163607,14.43442721420037,10.326956296823347,12.534001406163545"
30,41,256.92,2,314,annual,0,"23.83452545081207,24.466177254508676,23.337715719357316,22.475077856202933,23.72925458148235,23.567186530596715,21.434099904743682,22.890376600843254,12.831637736600076,29.20954951086537,27.696882961850033,25.255344789924287"
31,4,343.61,6,193,monthly,0,"40.77322153520754,29.126473554570108,30.48153208407845,27.474987538829563,36.2838826183327,15.524753094277827,31.20956403180457,32.25348060142052,23.88599057776441,39.84357044338681,26.532834568907376,36.201314545957594"
32,36,270.55,6,177,monthly,0,"19.478749918335637,28.298163054397723,23.903042764979137,28.467226918884737,26.667604774215523,21.51546732488301,34.02711918478918,29.56897944489068,24.026626280777084,35.19926240490495,24.304409994310504,20.335731143270365"
33,1,239.04,5,327,quarterly,0,"26.371878138146048,26.17762617121311,21.161310001379004,20.649802396307557,27.45350318345649,25.068286691642808,27.825841315842073,15.742081600259374,21.510157779003766,33.021563097617516,26.545942098281586,25.317341075359558"
34,38,13.89,1,152,monthly,0,"1.1816118844093433,1.4044449193725979,1.4564271161209483,0.9639622739546142,0.8703663800944917,1.1766987498018755,1.6437328046625574,1.6921297340481773,1.8631279942313412,1.380203743721355,1.6192781873064575,1.669772739252157"
35,27,320.78,3,329,monthly,0,"30.346751662090973,25.798780628924536,29.22774750996122,34.49879240877798,36.93473248188983,26.161895200105032,37.657243894212556,40.775446973789435,34.73061756290245,44.11900571334048,27.113822127746403,24.092921342467285"
36,11,191.04,6,199,monthly,1,"15.4107753785619,13.941721025401643,15.694094913900573,10.868162131003938,11.031282722984207,13.920202463932014,11.761117622861013,16.854867662790372,11.694865123239905,12.0479903845339,14.493177918019253,12.331767277506467"
37,1,204.46,7,148,monthly,0,"22.965604281944124,17.867941301103443,16.703230985326847,21.452156597245562,24.746710032687016,19.434273020917573,20.17805193160767,23.747457961243498,23.882849590990226,20.28840050187549,18.632339123391535,20.783792729834026"
38,59,180.34,7,179,monthly,0,"21.93107013320381,11.379830792845794,14.365235478337375,19.897584083462768,15.151814612360296,17.44060644993051,18.036577072276096,18.604854915654865,15.590202151958882,18.572503921147018,15.211568167023309,20.466057764790527"
39,19,164.16,1,285,quarterly,0,"19.83024089974816,13.13058982703631,24.39335343138375,22.817060274911075,14.564849379633591,4.700806187346199,15.245232205829277,17.198146821694575,14.551872399072511,15.688491153067613,13.695168800075614,19.44165396812608"
40,19,111.15,7,54,monthly,0,"10.917047545928122,11.182049213957782,9.549300791643198,9.496291377952138,11.334912866045487,10.825625725455915,12.227994123128363,8.773916264372703,10.335800619659393,10.605827926456552,12.924676712194197,9.024779454447295"
41,56,64.54,2,6,quarterly,0,"6.880237907105146,7.576856875552961,7.1346038540918615,6.791972891914627,4.5194398314659345,7.924265716502503,5.862035375608218,7.858930221759929,7.983709373911932,5.589001351583647,7.679739540943742,5.987917306286513"
42,35,277.75,1,114,monthly,0,"23.36229719607732,36.77781224039004,31.20413024149141,21.107737640467263,21.97250062487418,26.53919746589193,29.426096905569914,31.234182459481403,33.05274344928766,30.771861079031673,35.2556427158534,28.478906911361644"
43,41,232.66,1,75,monthly,1,"17.120166514007796,19.487078845525385,21.711070551802997,19.59026531333268,10.290040569063743,12.11832220358423,14.251029439547379,16.3712003249172,17.972356697536796,13.922291414109191,16.89456018436334,13.825749598008464"
44,26,265.95,3,294,quarterly,0,"29.36055707278857,25.965953174616523,26.330387774679977,20.642678485322676,28.179129122322923,17.44897337253356,28.103586807505312,25.102708382331986,28.587765509373188,21.01653742052119,15.322324310020498,24.729047864926066"
45,40,197.2,3,103,monthly,1,"15.183746516761985,15.274459896660865,10.800904824950207,16.370191741122007,8.937118711500899,16.96280766923932,10.161591793643302,13.179443736131423,16.743139382488334,14.134273325674464,16.058816248689997,15.512074366534906"
46,23,267.02,1,88,quarterly,0,"27.475591088073564,24.658999367041407,27.254183462751467,23.84767898399704,16.274682811910573,25.20896620167411,28.610882592350208,23.565375297077313,25.6720745439372,25.87897478352105,33.94762331454268,24.782070917158194"
47,31,202.27,2,102,monthly,0,"18.468875335161318,18.975850111198834,21.125146843892786,18.289860708725453,25.30646907020517,16.607583678448382,19.470593389986288,18.447698824739867,26.080020248829165,21.02167189443638,24.400677425761167,14.216995665042731"
48,16,280.81,2,310,monthly,0,"31.680552497415356,27.115592818666677,27.944749468380746,24.962836310283905,19.06476719564975,31.270285575280734,23.554253037686472,26.9534048607906,29.692804648816896,16.37005663041677,17.62735254538158,26.397698445241744"
49,50,119.67,1,192,annual,1,"7.966231296679737,6.897203316362563,7.290252350206746,9.720213283333836,8.835870679802051,8.461093359931299,8.784755297239023,9.931711770117616,8.214134747610421,8.467815522971813,10.28366010211392,7.821283963039794"
50,54,223.13,2,106,monthly,1,"17.354268761233886,13.673578645103968,14.070002136037607,15.094175514977648,14.452894051148048,11.95326495632244,18.10565196870296,18.894817575638733,16.692763824726697,14.443043297230716,13.416358531991433,13.421327587136224"
51,47,189.36,3,122,monthly,0,"20.99382461436867,23.03928109812575,15.714386949253388,19.332179112009186,12.313600683242658,14.173852988363766,22.283719846518323,15.3351940200697,15.75092367292211,18.904185368022286,21.56666973070795,14.918070669889357"
52,5,203.46,3,185,monthly,0,"24.83744434694281,20.885616003295745,20.98651444127285,27.39132335861237,18.806811025117643,22.57114708550475,19.26279055055463,19.25303038437976,15.589660299149177,17.324708387592903,16.568827284541094,22.764799746711404"
53,5,170.37,6,38,monthly,0,"17.13536053550657,21.393715541090465,17.688579802333344,17.19564478154348,12.403726898398595,19.580259100292196,19.23688917364764,24.408665902413883,15.988664067807584,17.784163981765843,17.887183616744696,22.412557670488543"
54,32,171.91,7,221,quarterly,0,"18.97404826275792,15.043023480313968,19.77604715039335,20.549624329493753,14.79989326366152,17.04794918389244,24.137369748442822,14.64705729042381,11.328488278159035,21.945541751123066,21.098720435233265,15.619740872010674"
55,11,155.58,6,225,annual,0,"11.731442908201169,15.005332648287359,17.576752987685317,18.630593889773298,19.049252768499343,19.63639778733557,14.86632622355863,11.989434692015834,15.201835354013925,17.528930087590112,11.739563141965958,20.72421999896682"
56,57,52.26,2,14,quarterly,0,"5.646779485590005,5.946840830168124,4.010064169707003,7.9056818555819355,3.955158737204065,5.387034279812519,5.059999494910438,3.9855854049591373,4.838890924228714,5.250180792044771,4.546491854077783,6.2053730116705585"
57,24,215.72,6,14,monthly,1,"16.232990813100756,12.81309345934172,10.99839866982873,14.145870205119236,12.863127846488108,15.057364193614143,10.29431147020898,16.80597432437169,13.183945528812426,18.107793574635764,14.264255336946318,15.023840997147413"
58,18,125.04,7,94,quarterly,0,"13.149013759384065,13.676974516410365,10.951838671179722,13.595942877793902,12.910853641402682,10.223640408916129,12.46872045596041,11.545574614543215,10.979618872325249,9.636719117397263,12.66012859957466,10.552042047961642"
59,41,178.47,4,153,monthly,1,"16.984098181767905,14.093710941990938,11.065460369480583,13.923162345123156,15.988863358984492,14.802765582695299,12.641544829518022,10.876178662677559,14.237076663919902,13.475685435937297,14.7292082466544,14.079541734216125"
60,47,209.16,2,21,monthly,0,"28.178243387192254,21.74417788475881,18.191220360438205,18.892049876005274,19.576172968041536,22.690660561211985,23.10342025534029,18.51633444573114,20.814385499184652,29.877926660995847,28.143017745413225,22.74151939825544"
61,22,240.48,3,130,monthly,0,"22.064873568577582,17.256981450713393,26.36745690533455,22.028385256299128,29.488786209360306,22.72650723491156,30.706521967645333,27.6909772774919,24.18546753021842,31.648193054468155,28.628065964396995,38.21799218367373"
62,41,334.71,4,65,monthly,0,"27.52548621075663,24.34684653651525,28.96958580551302,18.176189725842335,30.194305316428135,37.63899062376616,30.282929625729178,42.7651814611535,44.58358271792125,42.010948372164435,35.015397357643955,17.90935756060012"
63,37,197.96,6,315,monthly,0,"26.96826188467782,23.29829974022177,20.857468215003497,16.970278502107096,16.335498832777432,13.357186946395313,26.592436798190597,25.883146096423168,14.227926993308103,17.60765048446554,21.510436729504033,18.60977676382671"
64,54,206.15,2,331,quarterly,0,"23.29003450651951,14.87549251417523,17.1579747439962,22.761230291248047,24.10700990670138,25.654842519396766,25.621893709715266,20.245481013551387,22.109773442614667,25.969163620842394,19.364060113345452,22.18015393026788"
65,20,194.27,7,292,annual,1,"13.242966821877003,10.784155886936949,13.082284961062905,14.818567822505882,11.997710001874436,13.624304717042415,13.978017851604282,14.829840328015779,13.235721614680795,16.55237937916205,7.884939983991396,21.589152499202008"
66,44,114.75,6,300,monthly,0,"9.79390814962722,12.63549505477036,12.852535731829017,9.616293053078897,10.4233324780942,10.112577193068757,11.23945276381855,11.413994548627416,13.009690095108885,10.289161224067676,12.332471069364697,12.639141088512945"
67,27,215.81,1,0,monthly,0,"28.63059087947601,16.632780169062247,22.886734542897155,18.32499371302612,21.303700045482824,22.999501196389883,22.967539593531303,23.40158244485583,28.54547614117189,23.538029852804172,20.526722104363092,25.74162993215709"
68,46,191.08,2,81,annual,0,"17.886616693728357,22.731342631235346,22.85140138761834,14.006784298827306,23.3469331792504,13.520558468582148,23.58509433254473,26.859321799257646,22.45105995313827,10.864782431653623,23.172308756302193,27.69155072399481"
69,35,331.36,2,264,monthly,0,"16.57199910135044,48.318711467767216,23.9271129235823,22.23169479410722,39.91292485179675,49.30490760754928,42.310007681147376,36.8732734798046,37.07769168066621,38.79189757287381,38.16571124006327,34.99963990666133"
70,25,105.06,4,276,monthly,1,"7.9287386472973855,5.721741948907604,10.3686318367469,7.763562069784796,7.439507623177632,8.48658513337193,6.135226466577272,7.594955038881346,6.300058170708456,9.647157217691959,5.797344338988355,7.447406166290729"
71,44,208.43,7,311,quarterly,0,"20.243368452052938,24.162080732879453,22.83144214013159,11.351463931949393,21.87472356549529,30.22425161678032,26.367521688573387,22.60220845265116,16.426821156159395,22.833734856948062,23.926726247618497,19.78523542997724"
72,24,100.49,5,67,monthly,0,"13.706106276628553,8.38457426391678,10.530400427180043,8.4773803500024,14.516309630936384,7.561298283476928,11.102968236574693,8.57205733235869,9.337401913587003,10.960622992243016,12.510286970421536,13.311827085578892"
73,32,93.89,5,253,monthly,1,"8.770102748928423,7.785154364039451,4.1164650503378315,3.977220458445992,7.942458414134773,5.888744265059291,4.404475771285565,7.946567646392644,6.794342298526664,6.902711409046528,7.6361097215271645,4.850198608704483"
74,36,153.47,3,69,monthly,1,"9.11177529168645,10.814473632756792,9.406599458300073,12.24949909901782,12.957843468729367,10.97579270741321,11.736547602223746,15.292837190323329,8.223228408924186,8.0924592330799,12.23580194825261,14.924767992151269"
75,34,43.91,6,299,monthly,0,"5.542570714891643,5.000887080276866,4.104021156392039,3.346191193861799,5.4880605540726615,4.127506551396946,4.373471394802716,4.727944238956849,3.5890713881343186,4.143238270675686,5.150982538681157,5.062089354692413"
76,1,206.01,6,230,annual,0,"15.499895436795178,20.703895773720575,17.79131088178017,15.762246812976787,14.270855608304707,15.695668174527357,20.848834173640558,13.964335353482085,18.332336506883344,23.952101078835334,22.45155627715358,18.415646492102297"
77,15,206.55,3,157,annual,0,"23.002823154067656,23.131514364192448,18.559746540619585,19.67827070958346,15.747453804785673,19.19635131751212,16.372615455241267,26.078825017710784,20.86339463215452,21.358946495546228,19.72457100552081,21.47081896691253"
78,54,272.99,1,109,annual,0,"28.865508511550864,26.667723359873335,30.08501793822733,32.74685417457248,26.968567001396046,21.55695381124545,18.665647802675394,27.496151224666605,28.61954057923535,22.00559097853733,31.261538164531782,24.79318438995699"
79,32,243.21,4,150,monthly,1,"16.297873954076472,22.10044372109443,17.530832911053704,15.876878318212386,14.936040362437076,15.994744213979176,15.702917751346257,17.604885852216736,17.5713737464954,17.035002659364558,18.512373423578797,21.078693925533162"
80,52,239.25,6,230,quarterly,0,"32.129132575781504,18.85591092375417,25.745112168330916,13.52331603091113,17.623433704343938,23.566914975745096,25.926215922009263,23.437899617742254,21.211063863833623,22.061718235861342,30.47788943089278,22.087488905205394"
81,21,156.3,7,64,monthly,0,"11.896215120489583,17.23319810395148,11.291312699807381,13.247270832527633,15.598421984870743,22.56484949154779,13.482739659640275,14.197655504402663,17.919361559373943,11.759121092588597,17.014261094410283,19.39978232659145"
82,29,317.69,5,112,annual,0,"39.027559292866755,24.647800187395656,21.608653236603647,29.185095997706767,31.208044626174782,37.62350054735366,40.73193191017022,39.48600821984166,33.52648582670157,36.84927895973921,27.699748982973112,32.8393242065893"
83,24,197.59,5,199,monthly,0,"16.58777323996078,24.89173866703114,15.882671750528226,14.51138937324935,22.447359364941907,24.33454661564247,17.97518869310407,18.03587343973761,20.87563607920267,16.961773258623552,16.669892801065288,23.235063668512673"
84,38,202.38,1,222,quarterly,0,"19.382820270996863,19.763036891515156,20.128306359240877,22.56283184081108,18.98933429148715,23.01875089315811,19.94247672817754,15.91932781172125,20.089376609034236,16.129008801821605,20.404134155223765,23.595651618778604"
85,32,131.7,7,272,annual,0,"10.418057795573297,7.990682101926634,18.58620160274654,10.264233119132589,12.587320911196173,12.440975526808003,13.979823587474751,15.318777115002968,15.436613429334908,11.634269187215832,12.729905527852843,13.914429400151802"
86,13,229.8,7,235,monthly,1,"13.42064953529379,19.011500311661816,21.651373484957322,17.051752757907437,17.123491555707343,13.890785151069164,12.237897707887903,15.95812816122841,12.953233286314612,10.3831431874604,18.670817981781138,18.82756287129638"
87,3,245.24,5,29,annual,0,"21.47142698909226,26.869020358878625,23.295577661928963,24.427827588999676,28.58749365918093,19.97872043797569,30.841393480003106,22.45026253305856,25.802580251900707,17.654844107441797,28.0547462185748,31.618911993993517"
88,27,121.03,1,85,quarterly,0,"14.105225657159998,14.034562170126872,14.829907369445756,14.001230783975368,11.846605044637098,15.061396591258005,9.510193946936255,12.117512408764997,15.888632429650432,9.076912687872152,10.46340140304445,13.729423793584576"
89,26,86.53,7,201,quarterly,0,"7.698020246684046,13.080331751519783,7.6765788760268165,8.972461358247395,11.321872485787637,12.124848233739348,12.220742792809418,10.744290652017488,10.425331927794673,9.678510060402385,10.000117355948479,7.699183963257674"
90,49,120.61,5,75,quarterly,0,"12.274516921196833,15.625431370606409,9.307216052904685,11.594101968346743,10.332101594290243,7.558701608415638,11.861810676177509,11.76757167661487,15.712078628022905,13.582933685656583,9.590661122591971,16.53379477407088"
91,4,93.78,7,197,annual,0,"9.948059758743668,6.796075058688917,10.724974637651913,12.52102095452092,12.528981779329717,10.756679189842616,8.283992784341667,6.9382305133969995,6.75197184991025,4.11477889711355,10.679706564526063,9.185388920810036"
92,36,197.8,1,279,quarterly,0,"21.183375974274234,15.436763451875851,21.343715565708585,17.511374412965445,21.178250705638856,20.260551687038742,15.917363471074465,16.24934674245816,21.184341122682174,18.905162627756606,16.455747459014944,16.12918653676469"
93,54,292.82,6,43,monthly,0,"30.037624511082676,26.418126027504485,17.874259492021505,33.87151067100002,35.55466103097789,25.017430619070193,28.398428280865932,27.893823937408406,31.339047220266057,39.178391300152185,36.07392454003282,27.074431702869425"
94,56,270.77,2,20,monthly,0,"28.666579391588304,19.730460739809445,29.602745655765624,26.883842474125807,18.330316541882265,33.3843498829272,23.09876849713095,22.689036879186872,28.163010905757798,33.297151554047645,21.575802437613618,27.41087358065059"
95,34,280.97,7,85,monthly,0,"31.194578579247874,25.650995498245795,21.941458188722375,26.873045327595328,21.77879589261513,31.750163304997344,37.27092111185579,26.630396381091607,33.4039291458517,24.223552087345517,26.39688841746027,23.51700880389758"
96,35,148.32,4,153,monthly,0,"10.542409488701795,15.114081475441997,13.76295760081453,16.34937881992388,15.774053509586242,14.737601715136172,14.651203851083215,12.649393888382262,15.079532095302152,17.44658025207373,11.944598361773117,14.816275480422867"
97,52,23.68,3,196,annual,0,"1.5007575273653284,2.4627160290763808,2.5393911380834764,3.0157017655503524,2.9303337861481213,2.621868908606404,2.730142187853847,2.276864287766592,1.790400011729796,2.423445089094768,2.8329871176525834,2.67851244526154"
98,7,74.75,3,113,monthly,0,"6.837148593911646,7.608663356795149,9.501860143667507,6.286816616831308,6.651382416466959,8.886267212092704,6.1899757394539785,9.182405130733839,7.461041268022948,7.927771110088257,8.024043295012563,6.5534215030288046"
99,34,104.88,3,324,monthly,0,"11.703737821665735,11.171294213409904,10.895646742960244,9.747114500450154,11.197907340759595,9.86828107558165,10.841270443757658,13.251678546633173,8.376604225942337,12.878898433915019,13.250666529903443,10.240251330093624"
100,44,111.23,6,130,annual,0,"10.106123476037725,10.451273597582405,11.6648128304421,10.101557045357998,13.029494701514244,10.747104829129306,9.378695478370146,12.476793937015598,8.582089591255542,15.605068708320022,14.643205456927205,12.26514115542657"
101,44,232.3,3,288,monthly,0,"28.780258740344745,18.019942000295085,21.361851435690095,25.665557714329825,20.864135856046754,26.84222609890266,29.622071134453734,27.934097188468925,14.23471065118869,23.814521734631125,28.009067362829093,17.112267525999698"
102,14,184.1,1,354,monthly,0,"21.573887887727516,19.68472024480245,12.662860026195489,13.152053133339892,16.302879924067486,13.546118620502238,17.53274223960142,14.677486644103425,18.050269716165605,23.608026398779643,18.22828108678506,17.294567274202517"
103,14,182.25,1,82,annual,0,"21.299376949691165,20.030175152771985,18.366778619875635,18.787597456370055,25.667322663028408,21.659862028905213,26.24243694818481,20.16437482355895,12.860764268680777,17.26948370965216,12.027827655612356,20.150789246306815"
104,14,71.49,3,333,quarterly,1,"5.955411490432155,6.7163694261504245,4.899749958345605,4.835322237937881,5.074401019205115,6.167163676630378,4.076140193799525,5.2428622132045035,5.980322877763474,5.505812753915627,5.194032999523781,6.006193512163237"
105,45,158.57,6,75,monthly,1,"8.909411951230775,10.05946418175048,14.279017843083698,10.496921704257856,14.21107796435959,13.56172019836803,10.294433542475758,9.983949602786485,9.110627511078382,9.03319077966758,11.883787617287606,11.055766989936219"
106,8,150.19,1,209,monthly,0,"14.357393068434732,8.80746368130032,16.37660524688503,11.293960335632523,12.33244363288159,13.008056855675814,14.403229227657711,15.0394357025941,18.276322606073478,13.284042722662036,16.461049354600867,23.221677655421562"
107,43,153.54,1,343,monthly,0,"14.015449258783503,15.566562812176516,14.45239166667922,15.701185278905944,17.681736499756305,15.085959910099055,14.218922090249693,11.903734083263288,17.13229180242412,16.42323656006308,11.724320136417766,17.919376373189603"
108,48,284.16,4,249,quarterly,0,"26.273094272868292,31.687829218961834,34.53275515913667,31.782010681143454,24.606491507943065,29.935309389824212,34.84909465299805,40.91334352644146,27.249353153740294,33.291056441788925,34.86299291657454,23.798607621252362"
109,2,298.11,2,306,monthly,1,"23.82365393983495,21.841213531788874,24.845854851750843,22.066202687748223,18.311816248536516,22.37663043303208,16.09444311687838,21.320950745219562,20.729180988637673,19.999277750911634,20.331408020611057,13.013833006968579"
110,45,263.86,6,48,monthly,0,"31.916239246270724,24.61608007831981,22.488125238531133,25.499171283995043,32.28603206680059,27.07976570036314,18.94678742768061,28.839832435128848,21.483613504816002,15.007842163185014,34.280771579765585,28.79892904536799"
111,23,263.48,2,312,monthly,0,"33.70993468822553,42.6159268296547,28.712795485861538,20.92216542435975,25.533941053848224,28.61684774668935,13.966877800104347,28.11058072136162,28.647687750579294,33.33717867427905,32.78798866280118,26.93374057394252"
112,56,197.89,4,112,monthly,0,"19.810492089387257,17.906031061528864,19.38455503021444,21.408496650691482,15.44256781236268,18.356794831060327,12.649836599344674,18.383802740591918,19.418965176449895,20.69500931775045,20.73693818594479,23.36625492413104"
113,9,191.42,5,223,monthly,0,"19.84331408717767,14.623047830360274,25.162815198688246,20.10039395036494,18.302584226372556,23.841687024753625,15.070543326071906,15.797894273745449,14.312334406490839,15.829938844386207,19.37555274796813,21.032586984101325"
114,51,223.46,5,110,quarterly,0,"25.52072857389126,26.167764884145413,17.660012554363945,16.97842954956017,21.497827729156423,28.782101273369975,19.245047089723933,24.37946601006757,24.379864880468038,25.74615713131484,29.784845441129598,29.326599266161352"
115,54,286.86,5,245,quarterly,1,"17.407760300284448,23.587122304068334,19.57992829550698,15.371180909206016,20.026299496893525,21.648774885204325,21.105601939973862,24.280809016151302,14.26489219466298,16.695881182374457,22.649840964708837,17.167664686615733"
116,15,259.37,3,241,quarterly,0,"14.526551037686366,17.053670475272213,33.80854552220306,34.730902169888054,25.383428021865868,33.149273735932866,20.62884085509768,21.81571147292058,20.218768943699313,21.527848263216697,29.68552843873998,21.46335505057804"
117,50,356.57,3,322,quarterly,1,"20.109132176108435,18.072624911708278,21.83103960585755,29.26454808738255,29.71747204982479,27.520833281889786,28.57917022259974,27.53627259963479,21.757337177590934,27.115675408757202,28.955129722560947,28.724911782779618"
118,9,246.76,2,190,monthly,0,"23.871256809390708,20.999778363192437,21.343882431974684,23.962796441576387,20.765270857208247,23.156172403174246,15.330648880459037,25.728673931146215,24.681974997165245,20.6435257123395,27.929538344142436,29.30312669670894"
